"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 20 18:02:39 GMT 2025","Fri Jun 20 18:02:40 GMT 2025","567","","","","SIMDHelpersTests","WidenTest","WidenTest",""
"passed","Fri Jun 20 18:02:35 GMT 2025","Fri Jun 20 18:02:35 GMT 2025","110","","","","EncodeTests","EncodeOverflowingWiden","EncodeOverflowingWiden",""
"passed","Fri Jun 20 18:02:38 GMT 2025","Fri Jun 20 18:02:38 GMT 2025","4","","","","PiratedAPITests","GetMaxCharCount","GetMaxCharCount",""
"passed","Fri Jun 20 18:02:27 GMT 2025","Fri Jun 20 18:02:34 GMT 2025","7436","","","","EncodeTests","EncodeDecodeBatched","EncodeDecodeBatched",""
"passed","Fri Jun 20 18:02:35 GMT 2025","Fri Jun 20 18:02:38 GMT 2025","3483","","","","EncodeTests","EncodeWithMaxManagedLength","EncodeWithMaxManagedLength",""
"passed","Fri Jun 20 18:02:38 GMT 2025","Fri Jun 20 18:02:38 GMT 2025","1","","","","NativeMemoryTests","WrapBuffer","WrapBuffer",""
"passed","Fri Jun 20 18:02:26 GMT 2025","Fri Jun 20 18:02:27 GMT 2025","1160","","","","DecodeTests","DecodeMutatingStressTest","DecodeMutatingStressTest",""
"passed","Fri Jun 20 18:02:38 GMT 2025","Fri Jun 20 18:02:38 GMT 2025","5","","","","PiratedAPITests","GetMaxByteCount","GetMaxByteCount",""
"passed","Fri Jun 20 18:02:26 GMT 2025","Fri Jun 20 18:02:26 GMT 2025","175","","","","DecodeTests","DecodeMutating","DecodeMutating",""
"passed","Fri Jun 20 18:02:39 GMT 2025","Fri Jun 20 18:02:39 GMT 2025","477","","","","SIMDHelpersTests","NarrowNonOverlapping","NarrowNonOverlapping",""
"passed","Fri Jun 20 18:02:34 GMT 2025","Fri Jun 20 18:02:35 GMT 2025","120","","","","EncodeTests","EncodeOverflowing","EncodeOverflowing",""
"passed","Fri Jun 20 18:02:38 GMT 2025","Fri Jun 20 18:02:39 GMT 2025","547","","","","SIMDHelpersTests","NarrowMutating","NarrowMutating",""
"passed","Fri Jun 20 18:02:27 GMT 2025","Fri Jun 20 18:02:27 GMT 2025","135","","","","DecodeTests","IDsToTokens","IDsToTokens",""
